time,temp1,temp2,temp3,temp4,Mode1_f0,Mode1_ql,Mode1_c1,Mode1_c2,Mode2_f0,Mode2_ql,Mode2_c1,Mode2_c2,Mode3_f0,Mode3_ql,Mode3_c1,Mode3_c2,Mode4_f0,Mode4_ql,Mode4_c1,Mode4_c2
9113.371429,500.286,70.8642,500.011,102.084,7099795887.540687,7356.219011868339,0.0,0.0,7290490305.339554,8864.559495211435,0.0,0.0,7852086776.348496,5792.9415567975875,0.0,0.0,8024378095.136895,6738.344071780456,0.0,0.0
9118.248816,499.727,70.8526,499.982,101.921,7099807744.766007,7354.090372198744,0.0,0.0,7290502197.55279,8860.045612465612,0.0,0.0,7852099787.0328665,5794.727087968099,0.0,0.0,8024391482.24522,6735.50280600223,0.0,0.0
9123.096295,501.163,70.8461,499.911,101.77,7099819665.306889,7351.065205531937,0.0,0.0,7290514172.998871,8856.360621198251,0.0,0.0,7852112710.638203,5790.664867764105,0.0,0.0,8024404805.848896,6734.42155146419,0.0,0.0
9127.933777,500.767,70.8377,499.771,101.617,7099831582.104395,7354.842403299789,0.0,0.0,7290525908.36113,8858.989614971177,0.0,0.0,7852124951.3643465,5788.909414270161,0.0,0.0,8024417567.054046,6732.6372454284765,0.0,0.0
9132.781168,499.161,70.8255,499.755,101.466,7099842866.969969,7347.256622993679,0.0,0.0,7290537215.00831,8851.374906962381,0.0,0.0,7852137433.485586,5786.975426951336,0.0,0.0,8024430622.858331,6731.225506876304,0.0,0.0
9137.608994,501.829,70.8203,499.624,101.318,7099854597.13431,7343.516449596059,0.0,0.0,7290549982.073806,8855.202236634024,0.0,0.0,7852151183.78481,5787.4207926386225,0.0,0.0,8024443409.069517,6727.99623239813,0.0,0.0
9142.456402,502.217,70.8106,499.575,101.165,7099866292.351482,7346.575737715867,0.0,0.0,7290562046.914641,8845.289507092953,0.0,0.0,7852163750.08714,5783.594660175123,0.0,0.0,8024456768.16294,6728.870438371243,0.0,0.0
9147.303885,501.689,70.8024,499.719,101.011,7099877700.549828,7339.841069596953,0.0,0.0,7290574069.054138,8844.603297548554,0.0,0.0,7852176736.005577,5782.111814860312,0.0,0.0,8024470192.171237,6724.774112256493,0.0,0.0
9152.161357,501.809,70.7966,499.744,100.865,7099889716.233058,7347.543218672898,0.0,0.0,7290585916.852502,8840.34206821353,0.0,0.0,7852190500.497888,5780.042141766608,0.0,0.0,8024483097.61816,6722.04986058315,0.0,0.0
9157.00878,501.167,70.7899,499.846,100.699,7099901572.249782,7337.57250177857,0.0,0.0,7290598154.523808,8838.064816554972,0.0,0.0,7852202679.493885,5780.803098137448,0.0,0.0,8024496889.013472,6718.713413249602,0.0,0.0
9161.876156,500.675,70.7791,499.901,100.548,7099913282.369899,7342.510181865057,0.0,0.0,7290610294.615841,8837.986240475377,0.0,0.0,7852216320.505204,5781.165970393094,0.0,0.0,8024509801.9287,6715.7591399030625,0.0,0.0
9166.693601,500.154,70.7724,499.962,100.395,7099925033.264032,7341.263106242307,0.0,0.0,7290621862.667965,8833.148000178438,0.0,0.0,7852229119.78573,5773.226273525496,0.0,0.0,8024523176.386285,6716.498145802156,0.0,0.0
9171.551103,500.686,70.7623,499.948,100.237,7099936334.060292,7333.33392476609,0.0,0.0,7290633983.893682,8831.623265742808,0.0,0.0,7852241781.141317,5775.962146859195,0.0,0.0,8024536038.341261,6711.649418056083,0.0,0.0
9176.388499,500.847,70.7551,499.893,100.08,7099948124.270041,7327.115472238049,0.0,0.0,7290645996.683535,8828.790374809545,0.0,0.0,7852254711.139654,5774.573840481716,0.0,0.0,8024549082.87289,6708.749741485849,0.0,0.0
9181.235922,501.1,70.7488,499.861,99.9205,7099960110.57487,7330.89089441136,0.0,0.0,7290657443.543572,8824.528126489035,0.0,0.0,7852267285.727845,5773.669042555276,0.0,0.0,8024562395.452769,6708.186988063354,0.0,0.0
