time,temp1,temp2,temp3,temp4,Mode1_f0,Mode1_ql,Mode1_c1,Mode1_c2
39731.481116,331.735,42.0273,500.785,12.0298,7106267748.453131,60057.92270843417,0.0,0.0
39733.752468,337.845,42.0278,500.707,12.0311,7106267727.035548,60091.590654419226,0.0,0.0
39735.844021,348.174,42.0247,500.679,12.0303,7106267771.843724,60084.543171075566,0.0,0.0
39737.935155,348.315,42.0273,500.731,12.0297,7106267687.7162,60005.57089691105,0.0,0.0
39740.036707,351.506,42.0273,500.745,12.0286,7106267773.815804,60054.349662508044,0.0,0.0
39742.127462,356.329,42.0242,500.806,12.0284,7106267693.104403,60078.87392617878,0.0,0.0
39744.238593,360.256,42.0247,500.869,12.0298,7106267727.505129,60081.637836589136,0.0,0.0
39746.339868,365.536,42.0242,500.906,12.0287,7106267799.955997,60063.10497013072,0.0,0.0
39748.440902,367.139,42.0247,500.976,12.0282,7106267763.857376,60030.51332640981,0.0,0.0
39750.532426,368.763,42.0253,501.103,12.0277,7106267802.025779,60097.87554593859,0.0,0.0
39752.623921,365.645,42.0231,501.212,12.028,7106267758.963777,60069.047316738026,0.0,0.0
39754.88462,361.125,42.0268,501.318,12.0269,7106267744.906485,60085.05500482681,0.0,0.0
39756.966482,354.691,42.0231,501.387,12.0272,7106267761.761317,60051.28249307845,0.0,0.0
39759.068026,351.566,42.0222,501.408,12.026,7106267762.764956,60087.69678346971,0.0,0.0
39761.179565,353.454,42.0238,501.449,12.0256,7106267720.714047,60007.03232510293,0.0,0.0
39763.271195,350.135,42.0216,501.472,12.0259,7106267735.4067745,60039.99876939287,0.0,0.0
39765.372721,343.084,42.0238,501.459,12.0251,7106267753.685524,60076.81580043201,0.0,0.0
39767.473957,341.51,42.0231,501.419,12.0242,7106267814.526511,60070.09469102308,0.0,0.0
39769.585584,340.225,42.0222,501.367,12.0238,7106267763.16623,60049.193543425296,0.0,0.0
39771.686668,339.724,42.0222,501.41,12.0238,7106267785.733122,60054.83078896946,0.0,0.0
39773.777902,339.479,42.0216,501.439,12.0239,7106267720.21262,60052.96754539564,0.0,0.0
39776.079208,345.11,42.0226,501.443,12.0241,7106267753.564232,60026.8659525215,0.0,0.0
39778.170462,338.856,42.0222,501.464,12.0248,7106267722.629591,59999.77479265796,0.0,0.0
39780.28127,335.602,42.0206,501.475,12.0221,7106267723.763699,60042.86039450303,0.0,0.0
39782.382743,335.6,42.0222,501.572,12.0254,7106267834.638853,60094.82661172282,0.0,0.0
39784.484348,331.402,42.0226,501.61,12.0231,7106267779.724117,60078.770560599296,0.0,0.0
39786.575771,332.816,42.0216,501.64,12.0222,7106267735.818541,60061.969316500785,0.0,0.0
39788.687416,325.313,42.0231,501.637,12.0221,7106267750.419683,60060.328145137806,0.0,0.0
